,0,1,2,3,4
0,TRB,PER,FG,2P,2PA
1,FG%,C&S_PTS,ORB%,3P,3PA
2,AST,TOV%,PTS_PER_TOUCH,AST%,PTS_PER_ELBOW_TOUCH
3,OBPM,2P%,TS%,eFG%,PAINT_TOUCH_FG%
4,DRIVE_PTS,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,DFGA,BLK
5,POST_TOUCH_PTS,FTr,DRIVE_FG%,PULL_UP_FG%,C&S_FG%
6,OBPM,DBPM,BLK,BLK%,DFG%
7,PTS_PER_TOUCH,TOV%,STL,STL%,DRB%
8,2P%,ELBOW_TOUCH_FG%,POST_TOUCH_FG%,PAINT_TOUCH_FG%,DRIVE_FG%
9,STL%,PF,ELBOW_TOUCH_FG%,PTS_PER_POST_TOUCH,POST_TOUCH_FG%
10,POST_UPS,MP,PULL_UP_FG%,DRIVE_FG%,ELBOW_TOUCH_FG%
11,FTr,DRB,DRB%,TRB%,PULL_UP_FG%
12,PTS_PER_ELBOW_TOUCH,PF,TOV%,DRIVE_FG%,PAINT_TOUCH_FG%
13,STL,C&S_FG%,PAINT_TOUCH_FG%,STL%,FT%
14,PTS_PER_POST_TOUCH,C&S_FG%,POST_TOUCH_FG%,PTS_PER_ELBOW_TOUCH,PF
