,0,1,2,3,4
0,2P,FGA,PER,FG,PTS
1,TOV%,3P%,TS%,C&S_PTS,3P
2,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AST%,AVG_DRIB_PER_TOUCH,PAINT_TOUCH_PTS
3,3PA,PF,DRIVE_FG%,2P%,FG%
4,STL%,BPM,PTS_PER_TOUCH,WS/48,DBPM
5,ELBOW_TOUCHES,BLK%,ELBOW_TOUCH_FG%,FTr,PTS_PER_TOUCH
6,STL%,POST_TOUCH_FG%,DRB%,PTS_PER_ELBOW_TOUCH,ELBOW_TOUCH_FG%
7,PAINT_TOUCH_FG%,ELBOW_TOUCH_FG%,PTS_PER_ELBOW_TOUCH,FTr,PTS_PER_POST_TOUCH
8,PULL_UP_FG%,DRB%,DFG%,PAINT_TOUCH_FG%,PTS_PER_PAINT_TOUCH
9,POST_TOUCH_PTS,TRB%,DRB%,3P%,POST_UPS
10,PTS_PER_ELBOW_TOUCH,PAINT_TOUCH_FG%,ELBOW_TOUCH_FG%,PTS_PER_POST_TOUCH,POST_TOUCH_FG%
11,STL%,PULL_UP_FG%,2P%,FT%,ELBOW_TOUCH_FG%
12,FTr,PAINT_TOUCH_FG%,DFGM,PTS_PER_ELBOW_TOUCH,DFG%
13,PAINT_TOUCH_FG%,ELBOW_TOUCH_FG%,ORB%,POST_UPS,POST_TOUCH_PTS
14,2P%,DRIVE_FG%,STL%,C&S_FG%,DFG%
