,0,1,2,3,4
0,FTA,FGA,PER,PTS,FG
1,TRB%,ORB,BLK%,DBPM,ORB%
2,3P%,FG%,eFG%,TS%,2P%
3,PF,3PA,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,3PAr
4,DFGA,DBPM,DFGM,TOV%,AST%
5,PTS_PER_POST_TOUCH,DFGM,PF,ELBOW_TOUCH_FG%,PTS_PER_ELBOW_TOUCH
6,PTS_PER_ELBOW_TOUCH,BLK,TRB%,DRB%,STL%
7,PTS_PER_ELBOW_TOUCH,STL%,POST_TOUCH_FG%,PTS_PER_TOUCH,BLK%
8,PTS_PER_PAINT_TOUCH,POST_TOUCH_PTS,PTS_PER_POST_TOUCH,PAINT_TOUCH_FG%,POST_TOUCH_FG%
9,PTS_PER_POST_TOUCH,STL,TRB%,STL%,DRB%
10,PTS_PER_POST_TOUCH,ELBOW_TOUCH_FG%,PTS_PER_ELBOW_TOUCH,DRIVE_FG%,FTr
11,BLK%,ORB,BLK,ORB%,DRB%
12,POST_TOUCH_FG%,PTS_PER_PAINT_TOUCH,DFGM,PULL_UP_FG%,DFG%
