Player,Unicorn Index,Positional Rank,Euclidean,Manhattan,Chebyshev
Giannis Antetokounmpo,1,1,1,1,1
LeBron James,0.966880228,1,1,0.900640685,1
Kevin Durant,0.936318059,2,0.915345245,1,0.893608931
James Harden,0.908734338,1,0.93272988,0.793473133,1
Ben Simmons,0.907244603,2,1,1,0.721733809
Paul George,0.831114658,3,0.895126002,0.696915656,0.901302315
Joel Embiid,0.792547936,2,0.813852101,0.693948698,0.869843009
Anthony Davis,0.763660343,3,0.757793603,0.694585688,0.838601739
Kawhi Leonard,0.751224454,4,0.806652239,0.602548573,0.844472548
Nikola Jokic,0.740910891,4,0.751161833,0.713461186,0.758109654
Russell Westbrook,0.712776715,3,0.734509318,0.678744629,0.725076197
Blake Griffin,0.687772559,5,0.741583849,0.751732175,0.570001652
Rudy Gobert,0.68754187,6,0.718977701,0.711771053,0.631876857
Karl-Anthony Towns,0.637682542,7,0.654891496,0.519060345,0.739095786
Andre Drummond,0.610035353,8,0.602656921,0.665084798,0.562364338
Svi Mykhailiuk,0.603931702,5,0.613762732,0.679214809,0.518817564
Gary Clark,0.584978789,9,0.590030532,0.70235247,0.462553366
Clint Capela,0.56542907,10,0.569589813,0.648188526,0.478508872
Jimmy Butler,0.564497357,6,0.531783305,0.669714447,0.491994318
Nikola Vucevic,0.557771037,11,0.557613273,0.498631168,0.61706867
Joe Ingles,0.530500187,12,0.560116831,0.607929328,0.423454403
Danilo Gallinari,0.530024437,7,0.505560405,0.592979934,0.491532973
LaMarcus Aldridge,0.527465733,13,0.501298988,0.606669487,0.474428724
Mitchell Robinson,0.507579136,14,0.498101082,0.595593895,0.429042431
Kristaps Porzingis,0.49331211,15,0.513266768,0.696655626,0.270013935
Tyson Chandler,0.480480844,16,0.486316215,0.618236147,0.336890171
Semi Ojeleye,0.475699978,17,0.459327161,0.491082204,0.476690568
Doug McDermott,0.469094982,8,0.437303439,0.687964832,0.282016674
Stephen Curry,0.463518856,4,0.505334995,0.375078962,0.51014261
Luka Doncic,0.456529828,5,0.476628038,0.367221438,0.525740008
Draymond Green,0.455409196,18,0.429192034,0.499800912,0.437234643
Damian Lillard,0.454997612,6,0.464565086,0.391388066,0.509039683
Patrick Patterson,0.453343984,19,0.431237433,0.443506167,0.485288353
Devin Booker,0.438736609,7,0.45539984,0.377629226,0.483180761
Kevin Knox,0.434308199,20,0.450387688,0.477346068,0.37519084
Tobias Harris,0.433400311,21,0.4413665,0.45706809,0.401766342
DeMar DeRozan,0.423093636,8,0.432541409,0.405812684,0.430926813
Derrick Jones Jr.,0.420823975,9,0.395959878,0.509909259,0.356602787
